Timestamp,"Are you familiar with the term ""food insecurity?""",***NON-FIRST YEARS: Approximately how much $ were you left with in your top up meal plan account at the end of first year?,"***NON-FIRST YEARS: If you have any money left over in your top up account, approximately how much do you think you have?",***FIRST YEARS: Approximately how much $ are you left with in your top up meal plan account right now,"If given the option to donate the remaining $ to your food insecure peers at Western, how much would you donate?",***FACULTY/STAFF: Approximately how much $ are you left with in your top up meal plan account right now,Food_Insecurity_Familiarity,Upper_Year_Dollars_Remaining_At_End_Of_First_Year,Upper_Year_Dollars_Remaining_Now,First_Year_Dollar_Remaining_Now,Donation_Percentage,Faculty_Staff_Dollar_Remaining_Now,Donation_Amount
2024-02-26 14:52:46,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-26 15:02:43,Yes I know what it is,$200 - $1000,,,10% of remaining funds,,Yes I know what it is,600.0,,,0.1,,
2024-02-26 15:38:00,Yes I know what it is,$200 - $1000,$100 - $1000,,15% of remaining funds,,Yes I know what it is,600.0,550.0,,0.15,,
2024-02-26 15:43:24,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-26 15:54:12,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-02-26 16:19:25,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-26 16:51:12,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-26 16:56:52,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-02-26 17:10:19,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-02-26 17:15:43,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-02-26 17:18:47,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-26 17:22:31,Yes I know what it is,,,$200 - $1000,0,,Yes I know what it is,,,600.0,,,
2024-02-26 17:23:08,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-26 17:31:19,Yes I know what it is,<$50,$10 - $50,<$50,20% - 50% of remaining funds,,Yes I know what it is,25.0,30.0,25.0,0.35,,8.75
2024-02-26 17:31:32,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-02-26 17:32:27,Yes I know what it is,Finished it in residence,$100 - $1000,,10% of remaining funds,,Yes I know what it is,0.0,550.0,,0.1,,
2024-02-26 17:32:52,Yes I know what it is,$200 - $1000,,,15% of remaining funds,,Yes I know what it is,600.0,,,0.15,,
2024-02-26 17:34:03,Yes I know what it is,$50 - $200,$10 - $50,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,30.0,25.0,1.0,,25.0
2024-02-26 17:38:28,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-26 17:38:48,I have heard of it,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,I have heard of it,600.0,5.0,,0.35,,
2024-02-26 17:42:40,Yes I know what it is,$200 - $1000,$10 - $50,<$50,50% - 90%,,Yes I know what it is,600.0,30.0,25.0,0.7,,17.5
2024-02-26 17:44:25,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-26 17:52:09,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-26 18:02:07,Yes I know what it is,$200 - $1000,,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,,,1.0,,
2024-02-26 18:09:58,Yes I know what it is,$200 - $1000,$100 - $1000,,0,,Yes I know what it is,600.0,550.0,,,,
2024-02-26 18:10:35,Yes I know what it is,Finished it in residence,Less than $10,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,125.0,0.35,,43.75
2024-02-26 18:12:51,I have heard of it,,,>$1000 (greater than $1000),10% of remaining funds,,I have heard of it,,,1250.0,0.1,,125.0
2024-02-26 18:17:23,Yes I know what it is,Finished it in residence,,,0,,Yes I know what it is,0.0,,,,,
2024-02-26 18:25:01,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-02-26 18:32:04,Yes I know what it is,$200 - $1000,$50 - $100,,20% - 50% of remaining funds,,Yes I know what it is,600.0,75.0,,0.35,,
2024-02-26 18:34:12,Yes I know what it is,$200 - $1000,Less than $10,,50% - 90%,,Yes I know what it is,600.0,5.0,,0.7,,
2024-02-26 19:05:45,Yes I know what it is,$200 - $1000,>$1000 (greater than $1000),$50 - $200,50% - 90%,,Yes I know what it is,600.0,1250.0,125.0,0.7,,87.5
2024-02-26 19:06:01,Yes I know what it is,,,$50 - $200,15% of remaining funds,,Yes I know what it is,,,125.0,0.15,,18.75
2024-02-26 19:06:29,I have heard of it,Finished it in residence,$10 - $50,$50 - $200,50% - 90%,,I have heard of it,0.0,30.0,125.0,0.7,,87.5
2024-02-26 19:06:30,Yes I know what it is,Finished it in residence,,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,0.0,1.0,,0.0
2024-02-26 19:08:19,Yes I know what it is,$200 - $1000,>$1000 (greater than $1000),Finished it in residence,5% of remaining funds,,Yes I know what it is,600.0,1250.0,0.0,0.05,,0.0
2024-02-26 19:13:27,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-02-26 19:31:07,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-02-26 19:33:06,Yes I know what it is,Finished it in residence,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,,0.35,,
2024-02-26 19:33:27,Yes I know what it is,,,$200 - $1000,50% - 90%,,Yes I know what it is,,,600.0,0.7,,420.0
2024-02-26 19:33:48,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-26 19:33:49,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-26 19:34:03,No clue,Finished it in residence,Less than $10,,5% of remaining funds,,No clue,0.0,5.0,,0.05,,
2024-02-26 19:37:41,Yes I know what it is,$50 - $200,$100 - $1000,,15% of remaining funds,,Yes I know what it is,125.0,550.0,,0.15,,
2024-02-26 19:39:13,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-26 19:39:16,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-26 19:41:55,No clue,,,$50 - $200,0,,No clue,,,125.0,,,
2024-02-26 19:43:59,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,5% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.05,,
2024-02-26 19:47:33,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-02-26 19:47:52,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-02-26 19:50:10,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,0.0,1.0,,0.0
2024-02-26 19:51:11,Yes I know what it is,Finished it in residence,,,15% of remaining funds,,Yes I know what it is,0.0,,,0.15,,
2024-02-26 20:23:20,Yes I know what it is,Finished it in residence,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,75.0,,1.0,,
2024-02-26 20:32:03,Yes I know what it is,$50 - $200,$50 - $100,,20% - 50% of remaining funds,,Yes I know what it is,125.0,75.0,,0.35,,
2024-02-26 20:32:21,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-26 20:32:22,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-26 20:33:33,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-02-26 20:33:54,Yes I know what it is,$50 - $200,Less than $10,,0,,Yes I know what it is,125.0,5.0,,,,
2024-02-26 20:34:06,I have heard of it,,,$200 - $1000,5% of remaining funds,,I have heard of it,,,600.0,0.05,,30.0
2024-02-26 20:34:12,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-02-26 20:35:17,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,15% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.15,,
2024-02-26 20:36:32,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-26 20:37:42,Yes I know what it is,<$50,,<$50,10% of remaining funds,,Yes I know what it is,25.0,,25.0,0.1,,2.5
2024-02-26 20:44:26,Yes I know what it is,,,$50 - $200,10% of remaining funds,,Yes I know what it is,,,125.0,0.1,,12.5
2024-02-26 20:45:05,Yes I know what it is,,,$50 - $200,10% of remaining funds,,Yes I know what it is,,,125.0,0.1,,12.5
2024-02-26 20:45:06,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-26 20:46:56,Yes I know what it is,,,$200 - $1000,15% of remaining funds,,Yes I know what it is,,,600.0,0.15,,90.0
2024-02-26 20:49:11,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-26 20:50:25,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-26 20:50:49,Yes I know what it is,,,>$1000 (greater than $1000),5% of remaining funds,,Yes I know what it is,,,1250.0,0.05,,62.5
2024-02-26 20:52:58,Yes I know what it is,>$1000 (greater than $1000),,<$50,10% of remaining funds,,Yes I know what it is,1250.0,,25.0,0.1,,2.5
2024-02-26 21:05:42,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-26 21:14:24,Yes I know what it is,$200 - $1000,Less than $10,<$50,15% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.15,,3.75
2024-02-26 21:18:01,No clue,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,No clue,0.0,5.0,0.0,1.0,,0.0
2024-02-26 21:22:37,No clue,,,$200 - $1000,15% of remaining funds,,No clue,,,600.0,0.15,,90.0
2024-02-26 21:25:10,Yes I know what it is,,,>$1000 (greater than $1000),20% - 50% of remaining funds,,Yes I know what it is,,,1250.0,0.35,,437.5
2024-02-26 21:25:45,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-26 21:25:53,I have heard of it,,,,5% of remaining funds,,I have heard of it,,,,0.05,,
2024-02-26 22:14:37,I have heard of it,,,$200 - $1000,10% of remaining funds,,I have heard of it,,,600.0,0.1,,60.0
2024-02-26 22:26:17,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-26 22:37:26,Yes I know what it is,$200 - $1000,$100 - $1000,$200 - $1000,0,,Yes I know what it is,600.0,550.0,600.0,,,
2024-02-26 22:38:04,Yes I know what it is,<$50,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,0.0,1.0,,0.0
2024-02-26 23:00:55,Yes I know what it is,$200 - $1000,,,10% of remaining funds,,Yes I know what it is,600.0,,,0.1,,
2024-02-26 23:48:49,Yes I know what it is,Finished it in residence,,,0,,Yes I know what it is,0.0,,,,,
2024-02-27 00:15:06,Yes I know what it is,$50 - $200,$10 - $50,,50% - 90%,,Yes I know what it is,125.0,30.0,,0.7,,
2024-02-27 00:27:52,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-27 00:52:28,Yes I know what it is,$50 - $200,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,30.0,,1.0,,
2024-02-27 09:37:22,Yes I know what it is,$200 - $1000,$100 - $1000,,5% of remaining funds,,Yes I know what it is,600.0,550.0,,0.05,,
2024-02-27 10:05:22,I have heard of it,<$50,Less than $10,,5% of remaining funds,,I have heard of it,25.0,5.0,,0.05,,
2024-02-27 10:05:33,Yes I know what it is,,Less than $10,,0,,Yes I know what it is,,5.0,,,,
2024-02-27 10:05:34,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,0,,Yes I know what it is,1250.0,5.0,,,,
2024-02-27 10:05:38,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-02-27 10:05:39,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-27 10:05:40,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,0.0,0.35,,0.0
2024-02-27 10:05:44,Yes I know what it is,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,,0.35,,
2024-02-27 10:05:45,Yes I know what it is,>$1000 (greater than $1000),,,10% of remaining funds,,Yes I know what it is,1250.0,,,0.1,,
2024-02-27 10:05:46,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-02-27 10:05:46,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,1250.0,5.0,,1.0,,
2024-02-27 10:05:46,Yes I know what it is,<$50,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,25.0,5.0,25.0,0.05,,1.25
2024-02-27 10:05:47,I have heard of it,>$1000 (greater than $1000),$100 - $1000,,5% of remaining funds,,I have heard of it,1250.0,550.0,,0.05,,
2024-02-27 10:05:49,Yes I know what it is,$50 - $200,Less than $10,,0,,Yes I know what it is,125.0,5.0,,,,
2024-02-27 10:05:49,Yes I know what it is,$200 - $1000,$100 - $1000,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,0.0,0.35,,0.0
2024-02-27 10:05:53,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.1,,0.0
2024-02-27 10:05:53,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-27 10:05:54,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-02-27 10:05:57,Yes I know what it is,Finished it in residence,,,15% of remaining funds,,Yes I know what it is,0.0,,,0.15,,
2024-02-27 10:05:58,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-02-27 10:05:58,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-02-27 10:05:59,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-27 10:06:01,Yes I know what it is,Finished it in residence,,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,,0.0,0.1,,0.0
2024-02-27 10:06:02,Yes I know what it is,<$50,$10 - $50,,0,,Yes I know what it is,25.0,30.0,,,,
2024-02-27 10:06:02,Yes I know what it is,$50 - $200,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,,0.35,,
2024-02-27 10:06:05,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,0.0,0.35,,0.0
2024-02-27 10:06:07,Yes I know what it is,Finished it in residence,$10 - $50,,10% of remaining funds,,Yes I know what it is,0.0,30.0,,0.1,,
2024-02-27 10:06:11,Yes I know what it is,,$100 - $1000,,5% of remaining funds,,Yes I know what it is,,550.0,,0.05,,
2024-02-27 10:06:15,I have heard of it,Finished it in residence,,,20% - 50% of remaining funds,,I have heard of it,0.0,,,0.35,,
2024-02-27 10:06:16,I have heard of it,$50 - $200,Less than $10,,20% - 50% of remaining funds,,I have heard of it,125.0,5.0,,0.35,,
2024-02-27 10:06:19,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-27 10:06:23,Yes I know what it is,$200 - $1000,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.05,,1.25
2024-02-27 10:20:12,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-27 10:44:03,Yes I know what it is,Finished it in residence,Less than $10,,0,,Yes I know what it is,0.0,5.0,,,,
2024-02-27 11:36:55,Yes I know what it is,Finished it in residence,,,5% of remaining funds,,Yes I know what it is,0.0,,,0.05,,
2024-02-27 11:50:35,Yes I know what it is,,,$50 - $200,10% of remaining funds,,Yes I know what it is,,,125.0,0.1,,12.5
2024-02-27 11:51:36,I have heard of it,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,I have heard of it,600.0,550.0,,0.35,,
2024-02-27 11:57:40,Yes I know what it is,$200 - $1000,$100 - $1000,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,0.0,0.35,,0.0
2024-02-27 11:57:46,Yes I know what it is,$200 - $1000,$100 - $1000,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,0.0,0.35,,0.0
2024-02-27 12:01:18,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-27 12:06:14,I have heard of it,,,,0,,I have heard of it,,,,,,
2024-02-27 12:43:16,Yes I know what it is,<$50,$10 - $50,,15% of remaining funds,,Yes I know what it is,25.0,30.0,,0.15,,
2024-02-27 13:26:47,Yes I know what it is,,,$50 - $200,5% of remaining funds,,Yes I know what it is,,,125.0,0.05,,6.25
2024-02-27 13:43:35,Yes I know what it is,$50 - $200,,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,,,1.0,,
2024-02-27 14:57:29,Yes I know what it is,$50 - $200,$50 - $100,,0,,Yes I know what it is,125.0,75.0,,,,
2024-02-27 15:25:37,Yes I know what it is,,,$50 - $200,10% of remaining funds,,Yes I know what it is,,,125.0,0.1,,12.5
2024-02-27 15:38:57,Yes I know what it is,$200 - $1000,$100 - $1000,,0,,Yes I know what it is,600.0,550.0,,,,
2024-02-27 15:40:06,Yes I know what it is,Finished it in residence,,$50 - $200,15% of remaining funds,,Yes I know what it is,0.0,,125.0,0.15,,18.75
2024-02-27 15:40:57,Yes I know what it is,,,$50 - $200,15% of remaining funds,,Yes I know what it is,,,125.0,0.15,,18.75
2024-02-27 15:41:41,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-27 15:44:38,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-02-27 15:45:32,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-27 15:46:39,Yes I know what it is,,,$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,,600.0,0.35,,210.0
2024-02-27 15:47:40,No clue,<$50,$10 - $50,$50 - $200,100% - Drain the account and donate all of it,,No clue,25.0,30.0,125.0,1.0,,125.0
2024-02-27 15:49:26,No clue,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,No clue,0.0,5.0,0.0,0.05,,0.0
2024-02-27 15:50:02,Yes I know what it is,$200 - $1000,,>$1000 (greater than $1000),20% - 50% of remaining funds,,Yes I know what it is,600.0,,1250.0,0.35,,437.5
2024-02-27 15:56:20,I have heard of it,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,125.0,5.0,,1.0,,
2024-02-27 16:00:39,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,0.0,0.35,,0.0
2024-02-27 16:17:31,Yes I know what it is,,,>$1000 (greater than $1000),15% of remaining funds,,Yes I know what it is,,,1250.0,0.15,,187.5
2024-02-27 16:32:17,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-02-27 17:40:27,Yes I know what it is,$200 - $1000,$100 - $1000,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,125.0,0.35,,43.75
2024-02-27 18:54:05,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-02-27 22:44:16,Yes I know what it is,,,>$1000 (greater than $1000),15% of remaining funds,,Yes I know what it is,,,1250.0,0.15,,187.5
2024-02-27 22:44:35,I have heard of it,,,$50 - $200,5% of remaining funds,,I have heard of it,,,125.0,0.05,,6.25
2024-02-27 22:47:46,Yes I know what it is,$50 - $200,Less than $10,Finished it in residence,15% of remaining funds,,Yes I know what it is,125.0,5.0,0.0,0.15,,0.0
2024-02-27 23:09:01,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-02-28 10:25:03,Yes I know what it is,$200 - $1000,$50 - $100,,20% - 50% of remaining funds,,Yes I know what it is,600.0,75.0,,0.35,,
2024-02-28 11:06:56,Yes I know what it is,Finished it in residence,,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,,0.0,0.1,,0.0
2024-02-28 12:32:19,Yes I know what it is,$200 - $1000,$100 - $1000,,5% of remaining funds,,Yes I know what it is,600.0,550.0,,0.05,,
2024-02-28 13:14:11,Yes I know what it is,$200 - $1000,$100 - $1000,$200 - $1000,5% of remaining funds,,Yes I know what it is,600.0,550.0,600.0,0.05,,30.0
2024-02-28 13:41:36,Yes I know what it is,$200 - $1000,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,,0.35,,
2024-02-28 14:35:26,Yes I know what it is,,,$200 - $1000,10% of remaining funds,,Yes I know what it is,,,600.0,0.1,,60.0
2024-02-28 14:40:26,Yes I know what it is,,,$200 - $1000,5% of remaining funds,,Yes I know what it is,,,600.0,0.05,,30.0
2024-02-28 14:41:43,Yes I know what it is,$200 - $1000,Less than $10,,0,,Yes I know what it is,600.0,5.0,,,,
2024-02-28 14:42:19,,$50 - $200,Less than $10,,20% - 50% of remaining funds,,,125.0,5.0,,0.35,,
2024-02-28 14:43:30,No clue,Finished it in residence,,,0,,No clue,0.0,,,,,
2024-02-28 14:43:49,Yes I know what it is,<$50,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,75.0,,1.0,,
